project,n_nobot_edits
WikiProject_Women_in_Red,15268
WikiProject_Military_history,12763
WikiProject_Africa,12095
WikiProject_Medicine,8727
WikiProject_Football,7978
WikiProject_Video_games,7408
WikiProject_Film,3103
WikiProject_Stolpersteine,2958
WikiProject_England,2274
WikiProject_Cannabis,2255
WikiProject_College_football,1942
WikiProject_National_Register_of_Historic_Places,1767
WikiProject_Anime_and_manga,1718
WikiProject_Birds,1586
WikiProject_Professional_wrestling,1562
WikiProject_Oregon,1525
WikiProject_India,1467
WikiProject_U.S._Roads,1444
WikiProject_National_Football_League,1411
WikiProject_Asia,1342
WikiProject_LGBT_studies,1296
WikiProject_Wikipack_Africa_Content,1235
WikiProject_Television,1191
WikiProject_Mathematics,1129
WikiProject_United_States,1088