user_text,wikiproject,sum_score,pos
Aliciastockley,africa,102.32387629558963,1
81belle,africa,102.32387629558956,2
Azura81,africa,94.615354443706337,3
Cheri Brown,africa,85.58435508552617,4
F&ME01,africa,84.088739724527684,5
Davros69999,africa,82.640815918486823,6
Abhajaiprakash,africa,80.89724055511526,7
Anotha1,africa,80.5949717208629,8
Anjoepaul,africa,80.2054832814262,9
Smellcheck,africa,80.084507654599946,10
Akshay Kumar Wiki,africa,79.778080245631472,11
Elitre (WPS),africa,79.684296087029452,12
Sportjones96,africa,78.545805650902437,13
Sherya ghosal,africa,78.466962144548035,14
Arielbender,africa,78.142285586777845,15
FanofPopMusic,africa,77.8051021303782,16
Jlo Fan 1999,africa,77.273390956136183,17
Lacour ferdinand octave,africa,77.15923009505147,18
Jjavier1978,africa,77.018275440397758,19
Sumit naithani SD,africa,76.929811748351142,20
Aliciastockley,anime and manga,305.32715855031307,1
81belle,anime and manga,305.32715855031273,2
Azura81,anime and manga,268.70381780717855,3
Cheri Brown,anime and manga,257.65903778227545,4
F&ME01,anime and manga,246.55722410474829,5
Abhajaiprakash,anime and manga,236.536784779077,6
Anotha1,anime and manga,235.30856039846242,7
Smellcheck,anime and manga,235.26524160509456,8
Anjoepaul,anime and manga,234.43266180100633,9
Elitre (WPS),anime and manga,234.36737805363214,10
Akshay Kumar Wiki,anime and manga,233.55305059805312,11
Sherya ghosal,anime and manga,230.32788947398006,12
FanofPopMusic,anime and manga,229.50269586652362,13
Jlo Fan 1999,anime and manga,227.7849067344527,14
Jjavier1978,anime and manga,226.92716367028976,15
Teranteran,anime and manga,225.88029060358323,16
Lacour ferdinand octave,anime and manga,225.79625663579773,17
Kirtap92,anime and manga,225.63750155493759,18
Ganesh Subbu,anime and manga,225.30758193847677,19
Wntrfields,anime and manga,225.10260335475084,20
81belle,asia,8.86445109792906,1
Aliciastockley,asia,8.86445109792906,2
Azura81,asia,7.8321247515098076,3
Cheri Brown,asia,7.4629329617052926,4
Elitre (WPS),asia,7.2962549799922263,5
F&ME01,asia,7.2884296474163177,6
Abhajaiprakash,asia,7.0627607369863208,7
Smellcheck,asia,6.9934408254612874,8
Akshay Kumar Wiki,asia,6.9811651289068513,9
Anotha1,asia,6.9728851041790243,10
Anjoepaul,asia,6.9192725824656343,11
Sherya ghosal,asia,6.855705639973964,12
FanofPopMusic,asia,6.8229119102882514,13
Info.wpd,asia,6.8043172262258613,14
Jlo Fan 1999,asia,6.7982149996405168,15
Jjavier1978,asia,6.7780691319092057,16
Wntrfields,asia,6.7492441107447485,17
Kirtap92,asia,6.7370128482880274,18
Chrishm21,asia,6.7367895694507887,19
Lacour ferdinand octave,asia,6.728514798274797,20
Aliciastockley,birds,126.59805459905985,1
81belle,birds,126.59805459905964,2
Azura81,birds,120.35953857054899,3
Davros69999,birds,107.0931520762809,4
Cheri Brown,birds,106.25731293264239,5
F&ME01,birds,104.65836559768908,6
Arielbender,birds,101.45260455178972,7
Sportjones96,birds,100.91163200220055,8
Anotha1,birds,100.58500006549649,9
Abhajaiprakash,birds,100.31615073723829,10
Anjoepaul,birds,100.03755688771682,11
Smellcheck,birds,99.4556950926528,12
Akshay Kumar Wiki,birds,98.800272949470425,13
Brtndr98,birds,97.726327197464,14
Sherya ghosal,birds,97.3740380919725,15
FanofPopMusic,birds,96.821867553204626,16
SwitchbladeAli,birds,96.688277007932385,17
Ludovicus50,birds,96.601292881820342,18
Freeman1856,birds,96.2946095214842,19
Jlo Fan 1999,birds,96.27804849051364,20
Aliciastockley,cannabis,17.864619906943833,1
81belle,cannabis,17.86461990694383,2
Azura81,cannabis,15.751274083459849,3
Cheri Brown,cannabis,15.141884433166082,4
Elitre (WPS),cannabis,14.830380576028029,5
F&ME01,cannabis,14.766495068596898,6
Abhajaiprakash,cannabis,14.298965370048187,7
Smellcheck,cannabis,14.16998452927038,8
Anotha1,cannabis,14.147163692490647,9
Akshay Kumar Wiki,cannabis,14.13128523975174,10
Anjoepaul,cannabis,14.019052854534364,11
Sherya ghosal,cannabis,13.905462860407019,12
FanofPopMusic,cannabis,13.856748436699704,13
Info.wpd,cannabis,13.786759402929778,14
Jlo Fan 1999,cannabis,13.781861238549524,15
Jjavier1978,cannabis,13.756500747014504,16
Chrishm21,cannabis,13.712436484280165,17
Wntrfields,cannabis,13.703906785891549,18
TheAmazingPeanuts,cannabis,13.699677840784258,19
Kirtap92,cannabis,13.683307277451114,20
Aliciastockley,college football,145.37500226164877,1
81belle,college football,145.37500226164877,2
Azura81,college football,132.37777124469443,3
Cheri Brown,college football,126.43829673745306,4
F&ME01,college football,119.27580843105596,5
Anotha1,college football,115.11102585394059,6
Anjoepaul,college football,114.12746251539157,7
Teranteran,college football,113.81382638798938,8
Abhajaiprakash,college football,113.25189962392199,9
Smellcheck,college football,113.11941037459697,10
Akshay Kumar Wiki,college football,111.96889305463972,11
Davros69999,college football,111.92651849228201,12
Sherya ghosal,college football,111.64165732989217,13
Sportjones96,college football,110.30369754238387,14
FanofPopMusic,college football,109.79956223876088,15
Mat 1997,college football,109.60542275261339,16
Lacour ferdinand octave,college football,109.35039644350753,17
Jlo Fan 1999,college football,108.51751904746867,18
Jjavier1978,college football,108.44269324103533,19
RPekař,college football,108.40772365462938,20
Aliciastockley,england,99.68245229426293,1
81belle,england,99.682452294262916,2
Azura81,england,93.104613179832612,3
Cheri Brown,england,83.1785915562349,4
F&ME01,england,80.809684537547184,5
Davros69999,england,80.674780501770215,6
Anjoepaul,england,77.387910114912259,7
Anotha1,england,77.343530264589219,8
Abhajaiprakash,england,77.131969641360925,9
Arielbender,england,76.901981000670872,10
Sportjones96,england,76.768332080931842,11
Smellcheck,england,76.503521561324689,12
Akshay Kumar Wiki,england,75.973671744405976,13
Sherya ghosal,england,74.933900650313774,14
FanofPopMusic,england,74.560647787010737,15
Brtndr98,england,74.441676654570941,16
Jlo Fan 1999,england,73.908566361161022,17
Lacour ferdinand octave,england,73.611249874183,18
Jjavier1978,england,73.5371441955233,19
Sumit naithani SD,england,73.380997819003127,20
Aliciastockley,film,711.03469683667186,1
81belle,film,711.03469683667174,2
Azura81,film,618.51661906278844,3
Cheri Brown,film,597.69358725868449,4
F&ME01,film,570.42364445231237,5
Abhajaiprakash,film,547.403262864097,6
Elitre (WPS),film,543.87865645451757,7
Anjoepaul,film,543.838087397403,8
Smellcheck,film,543.805513399674,9
Anotha1,film,542.66728798297254,10
Akshay Kumar Wiki,film,540.21064459968352,11
FanofPopMusic,film,534.95070522251149,12
Sherya ghosal,film,533.06037805995561,13
TheAmazingPeanuts,film,531.24159691735872,14
Jlo Fan 1999,film,529.47588597456013,15
Ganesh Subbu,film,527.6208516313319,16
Jjavier1978,film,526.54210108936775,17
Kirtap92,film,526.11871094213416,18
Wntrfields,film,524.3467294908321,19
RPekař,film,523.76096691002169,20
Aliciastockley,football,508.01239996749763,1
81belle,football,508.01239996749752,2
Azura81,football,472.47798718806365,3
Cheri Brown,football,431.98688750851716,4
F&ME01,football,414.28780939970221,5
Davros69999,football,406.59789679246711,6
Anotha1,football,397.98106146675264,7
Anjoepaul,football,397.52378617092927,8
Abhajaiprakash,football,393.7142146777993,9
Arielbender,football,393.17703721863455,10
Sportjones96,football,392.3768757086952,11
Smellcheck,football,391.58730964168444,12
Akshay Kumar Wiki,football,388.06771917497355,13
Sherya ghosal,football,385.49033652556739,14
Brtndr98,football,383.48740116666636,15
FanofPopMusic,football,382.65695909514307,16
Teranteran,football,381.30321253586465,17
RPekař,football,379.12396245537082,18
Sgvrfjs,football,378.50442541723925,19
Lacour ferdinand octave,football,378.27196047573813,20
Aliciastockley,india,169.30970817657118,1
81belle,india,169.30970817657115,2
Azura81,india,157.40995648230492,3
Cheri Brown,india,140.73434449834409,4
F&ME01,india,137.55900929656033,5
Davros69999,india,136.6206929912135,6
Abhajaiprakash,india,131.76374622497869,7
Anjoepaul,india,131.51711702700186,8
Anotha1,india,131.50939968510824,9
Smellcheck,india,130.55670414872779,10
Arielbender,india,129.81759643898917,11
Akshay Kumar Wiki,india,129.78383910068735,12
Sportjones96,india,129.73257170846921,13
Sherya ghosal,india,127.71132334044391,14
FanofPopMusic,india,127.15220314495086,15
Elitre (WPS),india,126.29666519341778,16
Jlo Fan 1999,india,126.1431122369244,17
Lacour ferdinand octave,india,125.5347564561751,18
Jjavier1978,india,125.49794421473408,19
Brtndr98,india,125.41483620112693,20
81belle,lgbt studies,296.7492148075296,1
Aliciastockley,lgbt studies,296.74921480752937,2
Azura81,lgbt studies,265.79360426148338,3
Cheri Brown,lgbt studies,249.99464055369478,4
F&ME01,lgbt studies,239.80816273946758,5
Abhajaiprakash,lgbt studies,229.56971889712852,6
Anotha1,lgbt studies,229.08026572040137,7
Anjoepaul,lgbt studies,228.78068262624629,8
Smellcheck,lgbt studies,228.23039202752506,9
Akshay Kumar Wiki,lgbt studies,226.51467612809981,10
Sherya ghosal,lgbt studies,223.57657873397264,11
Elitre (WPS),lgbt studies,223.22774445623625,12
FanofPopMusic,lgbt studies,222.92105626666157,13
Davros69999,lgbt studies,222.6763194853668,14
Jlo Fan 1999,lgbt studies,221.04511205038125,15
Jjavier1978,lgbt studies,220.07127620383815,16
Lacour ferdinand octave,lgbt studies,219.28691032780776,17
Kirtap92,lgbt studies,219.03701266557735,18
Teranteran,lgbt studies,218.82492438447173,19
Ganesh Subbu,lgbt studies,218.79647251157229,20
81belle,mathematics,344.98288408664155,1
Aliciastockley,mathematics,344.98288408664138,2
Azura81,mathematics,319.86018821948227,3
Cheri Brown,mathematics,290.04428303938414,4
F&ME01,mathematics,283.58881997781128,5
Davros69999,mathematics,278.319617408233,6
Abhajaiprakash,mathematics,272.09274310547181,7
Anotha1,mathematics,271.37836848939605,8
Smellcheck,mathematics,270.72401786785582,9
Anjoepaul,mathematics,269.95469984225321,10
Akshay Kumar Wiki,mathematics,267.80230495031617,11
Sportjones96,mathematics,265.7752252877109,12
Arielbender,mathematics,264.46422860567139,13
FanofPopMusic,mathematics,264.40642022839074,14
Sherya ghosal,mathematics,263.91174590466926,15
Jlo Fan 1999,mathematics,262.8263898342596,16
Elitre (WPS),mathematics,262.39762591516427,17
Jjavier1978,mathematics,261.26434551762554,18
Kirtap92,mathematics,260.2702829944368,19
Wntrfields,mathematics,260.25306925389958,20
Aliciastockley,medicine,332.17386843511815,1
81belle,medicine,332.17386843511804,2
Azura81,medicine,308.74786395328562,3
Cheri Brown,medicine,279.17110020301482,4
F&ME01,medicine,277.88188382975716,5
Davros69999,medicine,274.79215622971628,6
Elitre (WPS),medicine,271.89390260720558,7
Abhajaiprakash,medicine,268.744020294846,8
Anotha1,medicine,267.05218468342667,9
Smellcheck,medicine,265.92157805207688,10
Akshay Kumar Wiki,medicine,265.00119474824243,11
Anjoepaul,medicine,264.35203532342888,12
Sherya ghosal,medicine,260.40723153109673,13
Sportjones96,medicine,259.68332554052137,14
Arielbender,medicine,259.28979651481603,15
FanofPopMusic,medicine,258.53168544112071,16
Jlo Fan 1999,medicine,257.25967692061607,17
Lacour ferdinand octave,medicine,256.73446968359104,18
Jjavier1978,medicine,256.64550284680394,19
Sumit naithani SD,medicine,256.5171434261556,20
81belle,military history,777.26626388635282,1
Aliciastockley,military history,777.26626388635191,2
Azura81,military history,730.94052521288449,3
Cheri Brown,military history,648.62933076196327,4
Davros69999,military history,643.50884644485575,5
F&ME01,military history,637.87127991351576,6
Abhajaiprakash,military history,611.53004612083714,7
Anotha1,military history,611.18698679332022,8
Arielbender,military history,610.87589253456451,9
Anjoepaul,military history,608.92956149906593,10
Sportjones96,military history,608.28630053964037,11
Smellcheck,military history,605.86705346265842,12
Akshay Kumar Wiki,military history,602.02514642036988,13
Sherya ghosal,military history,593.22723754733727,14
FanofPopMusic,military history,592.1960850937603,15
Jlo Fan 1999,military history,587.95354389280794,16
Brtndr98,military history,587.92570916404156,17
Elitre (WPS),military history,587.06973488191352,18
Wesco482,military history,584.61031018543463,19
Jjavier1978,military history,584.3539216685748,20
Aliciastockley,national football league,144.4273103937029,1
81belle,national football league,144.42731039370278,2
Azura81,national football league,129.13806432188633,3
Cheri Brown,national football league,124.42963788123483,4
F&ME01,national football league,117.82611231390484,5
Anotha1,national football league,113.18392038134789,6
Anjoepaul,national football league,112.4048442097025,7
Abhajaiprakash,national football league,112.30105951401526,8
Smellcheck,national football league,112.01764590857259,9
Teranteran,national football league,111.0978562062563,10
Akshay Kumar Wiki,national football league,110.93822039077463,11
Sherya ghosal,national football league,110.28971779232165,12
FanofPopMusic,national football league,109.39423356414358,13
Jlo Fan 1999,national football league,108.20050252827727,14
Mat 1997,national football league,108.12147000686484,15
Lacour ferdinand octave,national football league,108.04679506998959,16
Elitre (WPS),national football league,108.00349573935482,17
Jjavier1978,national football league,107.93417053375778,18
Ganesh Subbu,national football league,107.88960793390322,19
Davros69999,national football league,107.81037008363234,20
81belle,national register of historic places,143.11757670558703,1
Aliciastockley,national register of historic places,143.11757670558694,2
Azura81,national register of historic places,133.48468511343037,3
Cheri Brown,national register of historic places,119.81662699880785,4
F&ME01,national register of historic places,116.64727973616665,5
Davros69999,national register of historic places,115.9593591037342,6
Anjoepaul,national register of historic places,111.73237346801726,7
Anotha1,national register of historic places,111.70096993166473,8
Abhajaiprakash,national register of historic places,111.55007106277317,9
Arielbender,national register of historic places,111.04646651552036,10
Smellcheck,national register of historic places,110.58607161881625,11
Sportjones96,national register of historic places,110.57038633039471,12
Akshay Kumar Wiki,national register of historic places,109.8751999225656,13
Sherya ghosal,national register of historic places,108.47317285475503,14
FanofPopMusic,national register of historic places,108.33084969301781,15
Jlo Fan 1999,national register of historic places,107.37567461911746,16
Brtndr98,national register of historic places,107.27448140779521,17
Jjavier1978,national register of historic places,106.74665442517791,18
Lacour ferdinand octave,national register of historic places,106.53822849468045,19
Wesco482,national register of historic places,106.52913329419222,20
81belle,oregon,73.3961441506278,1
Aliciastockley,oregon,73.3961441506278,2
Azura81,oregon,67.6336355470807,3
Cheri Brown,oregon,61.5292562717373,4
F&ME01,oregon,60.625089328069237,5
Davros69999,oregon,59.139699508313534,6
Abhajaiprakash,oregon,58.450356759836083,7
Elitre (WPS),oregon,58.073639523810357,8
Anotha1,oregon,58.072290656523784,9
Anjoepaul,oregon,57.88178410691873,10
Smellcheck,oregon,57.8078608495359,11
Akshay Kumar Wiki,oregon,57.612536596043334,12
Sherya ghosal,oregon,56.744184567397042,13
FanofPopMusic,oregon,56.625084777573974,14
Arielbender,oregon,56.581121062297726,15
Sportjones96,oregon,56.390489886605373,16
Jlo Fan 1999,oregon,56.128299150599304,17
Jjavier1978,oregon,55.853615105803826,18
Lacour ferdinand octave,oregon,55.821922770538379,19
TheAmazingPeanuts,oregon,55.821045648671671,20
Aliciastockley,professional wrestling,190.55780189707116,1
81belle,professional wrestling,190.55780189707113,2
Azura81,professional wrestling,169.39783052257323,3
Cheri Brown,professional wrestling,162.67950169316029,4
F&ME01,professional wrestling,153.01558659959935,5
Anotha1,professional wrestling,146.41535768367578,6
Anjoepaul,professional wrestling,146.24770155696376,7
Abhajaiprakash,professional wrestling,145.45085148761913,8
Smellcheck,professional wrestling,145.18863439117112,9
Teranteran,professional wrestling,144.09396822388629,10
Akshay Kumar Wiki,professional wrestling,143.63388717093866,11
Sherya ghosal,professional wrestling,142.56150104657871,12
FanofPopMusic,professional wrestling,141.70627754282444,13
Jlo Fan 1999,professional wrestling,140.18147864302867,14
Jjavier1978,professional wrestling,139.67519307148868,15
Ganesh Subbu,professional wrestling,139.55139406736228,16
Lacour ferdinand octave,professional wrestling,139.54982972261323,17
Mat 1997,professional wrestling,139.47438153315281,18
RPekař,professional wrestling,139.47322244957454,19
Davros69999,professional wrestling,139.12275177640024,20
81belle,television,392.43348234033095,1
Aliciastockley,television,392.43348234033061,2
Azura81,television,343.18436700300765,3
Cheri Brown,television,331.303463597994,4
F&ME01,television,314.84960736099748,5
Abhajaiprakash,television,301.453342824329,6
Anjoepaul,television,300.35206038647743,7
Anotha1,television,299.97804019649669,8
Smellcheck,television,299.91692512825665,9
Akshay Kumar Wiki,television,297.57578759763214,10
Elitre (WPS),television,295.538154698738,11
FanofPopMusic,television,294.3632057789398,12
Sherya ghosal,television,294.02677400860932,13
Jlo Fan 1999,television,291.51486344839947,14
TheAmazingPeanuts,television,290.65997908854609,15
Teranteran,television,290.55011776976909,16
Jjavier1978,television,290.02469539676667,17
Ganesh Subbu,television,290.02445076015607,18
Kirtap92,television,289.2481071469885,19
RPekař,television,288.23478667185356,20
81belle,u.s. roads,186.7756153734652,1
Aliciastockley,u.s. roads,186.77561537346511,2
Azura81,u.s. roads,174.648853781574,3
Cheri Brown,u.s. roads,158.39075155318582,4
F&ME01,u.s. roads,155.07747356116445,5
Davros69999,u.s. roads,153.8850102038804,6
Anotha1,u.s. roads,149.20165809325525,7
Abhajaiprakash,u.s. roads,148.81004988638173,8
Anjoepaul,u.s. roads,148.15967355910792,9
Smellcheck,u.s. roads,147.58288478278743,10
Akshay Kumar Wiki,u.s. roads,146.74835282356028,11
Sportjones96,u.s. roads,146.73486379773539,12
Arielbender,u.s. roads,146.622716312968,13
Sherya ghosal,u.s. roads,145.02472142348046,14
Elitre (WPS),u.s. roads,144.41906683126552,15
FanofPopMusic,u.s. roads,143.61308068161952,16
Lacour ferdinand octave,u.s. roads,142.65620089499356,17
Brtndr98,u.s. roads,142.37164396654268,18
Jlo Fan 1999,u.s. roads,142.26885264978856,19
Sumit naithani SD,u.s. roads,142.07072646047919,20
81belle,united states,279.39011982105689,1
Aliciastockley,united states,279.39011982105671,2
Azura81,united states,260.5606937137249,3
Cheri Brown,united states,234.45406259838791,4
F&ME01,united states,231.1954225774096,5
Davros69999,united states,229.81396817299859,6
Abhajaiprakash,united states,222.34561963766657,7
Anotha1,united states,221.92604658051832,8
Anjoepaul,united states,220.50369578586665,9
Smellcheck,united states,220.07614810419813,10
Akshay Kumar Wiki,united states,219.13807693968189,11
Elitre (WPS),united states,218.85014569684245,12
Arielbender,united states,218.42990217041628,13
Sportjones96,united states,217.79609319412057,14
Sherya ghosal,united states,215.89323073154387,15
FanofPopMusic,united states,214.22512060887757,16
Lacour ferdinand octave,united states,212.4403385932805,17
Jlo Fan 1999,united states,212.39245801268453,18
Sumit naithani SD,united states,212.02091619187311,19
Jjavier1978,united states,211.66219749174678,20
81belle,video games,724.48319196299065,1
Aliciastockley,video games,724.4831919629903,2
Azura81,video games,661.4299351118301,3
Cheri Brown,video games,611.33527114409821,4
F&ME01,video games,594.3263522200001,5
Abhajaiprakash,video games,570.28029762645724,6
Anotha1,video games,569.509140048516,7
Davros69999,video games,569.26061039623482,8
Smellcheck,video games,566.37262393368212,9
Anjoepaul,video games,565.25128238090292,10
Akshay Kumar Wiki,video games,562.31588263918172,11
Elitre (WPS),video games,559.52369758630073,12
Sherya ghosal,video games,554.90116852644462,13
FanofPopMusic,video games,551.938587532618,14
Jlo Fan 1999,video games,547.69837114869676,15
Sportjones96,video games,547.64328127076658,16
Jjavier1978,video games,545.438435338783,17
Lacour ferdinand octave,video games,544.89027647560454,18
Kirtap92,video games,542.90541299804454,19
Sumit naithani SD,video games,541.98229548199151,20
